BldCode,CenterX,CenterY,Height,Area
259,359782.97,3712991.93,60,105.17
260,359786.32,3712982.81,60,46.84
261,359789.54,3712971.10,60,115.76
262,359790.21,3712946.75,60,69.88
263,359796.30,3712908.03,60,91.93
264,359807.11,3712907.03,60,60.68
265,359794.54,3712918.47,60,23.64
266,359804.91,3712918.65,60,54.72
267,359818.68,3712917.90,60,90.88
268,359837.90,3712921.09,60,12.86
269,359848.92,3712911.10,60,45.86
270,359837.12,3712912.00,60,103.82
271,359864.58,3712913.05,60,79.04
272,359873.20,3712919.27,60,150.33
