id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
19342,361346.66,3714165.87,4274,1561,361493.99,3714247.56,2960
19343,361346.66,3714165.87,4274,495,361493.99,3714247.56,2960
19344,361392.93,3714076.5,3060,862,361462.89,3713979.11,726
19345,365337.87,3714343.86,482,190,365122.39,3714074.92,114
19346,365168.37,3714575.24,3492,451,365025.09,3714474.52,440
19347,365178.26,3714451.05,2396,631,365025.09,3714474.52,440
19348,365308.93,3714436.57,468,817,365025.09,3714474.52,440
19349,365156.74,3714632.84,543,2022,365156.74,3714632.84,543
19350,365448.25,3714599.96,2420,213,365025.09,3714474.52,440
19351,365203.2,3714530.89,472,113,365025.09,3714474.52,440
19352,365331.52,3714611.73,470,1098,365025.09,3714474.52,440
19353,365186.31,3714532.54,545,555,365025.09,3714474.52,440
19354,365211.94,3714624.18,2423,435,365025.09,3714474.52,440
19355,365167.89,3714359.93,1324,492,365025.09,3714474.52,440
19356,365360.65,3714664.88,3726,1382,365051.897975,3714546.013446,436
19357,365360.65,3714664.88,3726,745,365025.09,3714474.52,440
19358,365211.94,3714624.18,2423,1330,365025.09,3714474.52,440
19359,365211.94,3714624.18,2423,521,365025.09,3714474.52,440
19360,365430.39,3714424.05,2381,1100,365025.09,3714474.52,440
19361,365211.94,3714624.18,2423,306,365025.09,3714474.52,440
19362,365430.39,3714424.05,2381,663,366073.06,3714309.54,3614
19363,365439.33,3714505.91,471,687,365025.09,3714474.52,440
19364,365211.94,3714624.18,2423,479,365025.09,3714474.52,440
19365,365360.65,3714664.88,3726,870,365025.09,3714474.52,440
19366,365339.18,3714694.68,1459,968,365025.09,3714474.52,440
19367,365258.37,3714349.6,483,1018,365122.39,3714074.92,114
19368,365337.87,3714343.86,482,537,365122.39,3714074.92,114
19369,365203.2,3714530.89,472,1471,365025.09,3714474.52,440
19370,365178.26,3714451.05,2396,685,365025.09,3714474.52,440
19371,365430.39,3714424.05,2381,445,365025.09,3714474.52,440
19372,365178.26,3714451.05,2396,683,365025.09,3714474.52,440
19373,365258.37,3714349.6,483,85,365122.39,3714074.92,114
19374,365337.87,3714343.86,482,873,365025.09,3714474.52,440
19375,365308.93,3714436.57,468,522,365122.39,3714074.92,114
19376,365308.93,3714436.57,468,952,365025.09,3714474.52,440
19377,365456.82,3714693.73,2433,1997,365456.82,3714693.73,2433
19378,365211.94,3714624.18,2423,1216,365025.09,3714474.52,440
19379,365167.89,3714359.93,1324,1181,365025.09,3714474.52,440
19380,365439.33,3714505.91,471,999,365025.09,3714474.52,440
19381,365178.26,3714451.05,2396,485,365025.09,3714474.52,440
19382,365360.65,3714664.88,3726,1532,365156.285633,3714612.647519,543
19383,365448.25,3714599.96,2420,1083,365025.09,3714474.52,440
19384,365308.93,3714436.57,468,878,365122.39,3714074.92,114
19385,365308.93,3714436.57,468,1609,365271.83,3714205.28,110
19386,365203.2,3714530.89,472,1040,365025.09,3714474.52,440
19387,365430.39,3714424.05,2381,426,365025.09,3714474.52,440
19388,365258.37,3714349.6,483,1165,365025.09,3714474.52,440
19389,365360.65,3714664.88,3726,1167,365025.09,3714474.52,440
19390,365168.37,3714575.24,3492,1270,365025.09,3714474.52,440
19391,365363.07,3714694.52,2451,162,365025.09,3714474.52,440
19392,365186.31,3714532.54,545,749,365025.09,3714474.52,440
19393,365203.2,3714530.89,472,611,365025.09,3714474.52,440
19394,365308.93,3714436.57,468,184,365025.09,3714474.52,440
19395,365194.67,3714449.28,2384,942,365025.09,3714474.52,440
19396,365308.93,3714436.57,468,259,365025.09,3714474.52,440
19397,365167.89,3714359.93,1324,1153,365025.09,3714474.52,440
19398,365211.94,3714624.18,2423,1318,365025.09,3714474.52,440
19399,365448.25,3714599.96,2420,1396,365156.606163,3714626.892144,543
19400,365360.65,3714664.88,3726,1473,365154.706,3714542.447186,543
19401,365424.36,3714353.86,2376,570,366073.06,3714309.54,3614
19402,365430.39,3714424.05,2381,1117,365025.09,3714474.52,440
19403,365308.93,3714436.57,468,964,365025.09,3714474.52,440
19404,365168.37,3714575.24,3492,508,365025.09,3714474.52,440
19405,365360.65,3714664.88,3726,1315,365155.829194,3714592.362936,543
19406,365308.93,3714436.57,468,384,365025.09,3714474.52,440
19407,365430.39,3714424.05,2381,149,366073.06,3714309.54,3614
19408,365360.65,3714664.88,3726,181,365025.09,3714474.52,440
19409,365331.52,3714611.73,470,1147,365025.09,3714474.52,440
19410,365360.65,3714664.88,3726,1087,365025.09,3714474.52,440
19411,365439.33,3714505.91,471,942,365025.09,3714474.52,440
19412,365218.9,3714699.01,1460,1635,365261.834557,3714697.464385,1459
19413,365299.17,3714344.95,481,864,365025.09,3714474.52,440
19414,365178.26,3714451.05,2396,725,365025.09,3714474.52,440
19415,365218.9,3714699.01,1460,1012,365025.09,3714474.52,440
19416,365178.26,3714451.05,2396,759,365025.09,3714474.52,440
19417,365363.07,3714694.52,2451,1013,365025.09,3714474.52,440
19418,365203.2,3714530.89,472,555,365025.09,3714474.52,440
19419,365317.64,3714518.99,469,1013,365025.09,3714474.52,440
19420,365360.65,3714664.88,3726,949,365025.09,3714474.52,440
19421,365178.26,3714451.05,2396,581,365025.09,3714474.52,440
19422,365456.82,3714693.73,2433,1249,365155.830103,3714592.403329,543
19423,365360.65,3714664.88,3726,2073,365360.65,3714664.88,3726
19424,365308.93,3714436.57,468,1568,365312.555713,3714470.878982,468
19425,365360.65,3714664.88,3726,1134,365025.09,3714474.52,440
19426,365360.65,3714664.88,3726,604,365025.09,3714474.52,440
19427,365456.82,3714693.73,2433,311,365025.09,3714474.52,440
19428,365308.93,3714436.57,468,129,365122.39,3714074.92,114
19429,365430.39,3714424.05,2381,386,365025.09,3714474.52,440
19430,365299.17,3714344.95,481,777,365025.09,3714474.52,440
19431,365360.65,3714664.88,3726,1316,365026.427043,3714489.283263,437
19432,365317.64,3714518.99,469,851,365025.09,3714474.52,440
19433,365360.65,3714664.88,3726,437,365025.09,3714474.52,440
19434,365317.64,3714518.99,469,1310,365026.535008,3714490.475388,437
19435,365339.18,3714694.68,1459,1331,365025.09,3714474.52,440
19436,365211.94,3714624.18,2423,1270,365025.09,3714474.52,440
19437,365211.94,3714624.18,2423,663,365025.09,3714474.52,440
19438,365218.9,3714699.01,1460,1094,365025.09,3714474.52,440
19439,365317.64,3714518.99,469,33,365025.09,3714474.52,440
19440,365203.2,3714530.89,472,136,365025.09,3714474.52,440
19441,365430.39,3714424.05,2381,235,365025.09,3714474.52,440
19442,365360.65,3714664.88,3726,751,365025.09,3714474.52,440
19443,365317.64,3714518.99,469,162,365025.09,3714474.52,440
19444,365339.18,3714694.68,1459,1063,365025.09,3714474.52,440
19445,365363.07,3714694.52,2451,286,365025.09,3714474.52,440
19446,365360.65,3714664.88,3726,1092,365025.09,3714474.52,440
19447,365317.64,3714518.99,469,1326,365025.09,3714474.52,440
19448,365360.65,3714664.88,3726,1670,365235.701998,3714698.405139,1459
19449,365360.65,3714664.88,3726,801,365025.09,3714474.52,440
19450,365211.94,3714624.18,2423,240,365025.09,3714474.52,440
19451,365299.17,3714344.95,481,643,365025.09,3714474.52,440
