id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30584,363629.31,3715259.3,2884,501,363570.75,3714999.04,769
30586,363774.49,3715342.76,1473,614,364001.69,3715457.43,1466
30588,363536.89,3715238.71,3330,959,363570.75,3714999.04,769
30590,363536.89,3715238.71,3330,437,363570.75,3714999.04,769
30591,363769.41,3715375.05,2910,1332,364001.69,3715457.43,1466
30594,363774.49,3715342.76,1473,1455,364001.69,3715457.43,1466
30595,363629.31,3715259.3,2884,99,363570.75,3714999.04,769
30596,363769.41,3715375.05,2910,1154,364001.69,3715457.43,1466
30598,363536.89,3715238.71,3330,468,363570.75,3714999.04,769
30600,363769.41,3715375.05,2910,497,364001.69,3715457.43,1466
30602,363769.41,3715375.05,2910,680,364001.69,3715457.43,1466
30603,363666.54,3715284.34,3334,444,363570.75,3714999.04,769
30604,363666.54,3715284.34,3334,383,363570.75,3714999.04,769
30605,363560.46,3715164.76,3322,959,363570.75,3714999.04,769
30608,363562.62,3715314.7,3324,918,363570.75,3714999.04,769
30609,363562.62,3715314.7,3324,398,363570.75,3714999.04,769
30614,363562.62,3715314.7,3324,570,363570.75,3714999.04,769
30617,363562.62,3715314.7,3324,95,363570.75,3714999.04,769
30618,363562.62,3715314.7,3324,783,363570.75,3714999.04,769
30619,363562.62,3715314.7,3324,364,363570.75,3714999.04,769
30620,363562.62,3715314.7,3324,182,363570.75,3714999.04,769
30622,363562.62,3715314.7,3324,170,363570.75,3714999.04,769
30623,367428.89,3713431.53,1726,777,367276.51,3713641.71,3802
30624,367197.15,3713395.16,710,1321,367276.51,3713641.71,3802
30625,367314.57,3713394.91,1722,410,367276.51,3713641.71,3802
30626,367207.15,3713361.65,309,1336,367276.51,3713641.71,3802
30627,367296.52,3713454.97,426,446,367276.51,3713641.71,3802
30628,367408.33,3713425.03,1724,1052,367276.51,3713641.71,3802
30629,367197.15,3713395.16,710,530,367276.51,3713641.71,3802
30630,367162.3,3713347.55,310,728,367276.51,3713641.71,3802
30634,367190.05,3713418.97,711,304,367276.51,3713641.71,3802
30635,367304.26,3713429.2,1723,523,367539.75,3713752.54,203
30636,367408.33,3713425.03,1724,850,367276.51,3713641.71,3802
30637,367397.88,3713458.78,1725,628,367276.51,3713641.71,3802
30639,367304.26,3713429.2,1723,996,367276.51,3713641.71,3802
30640,367197.15,3713395.16,710,868,367276.51,3713641.71,3802
30641,367304.26,3713429.2,1723,965,367539.75,3713752.54,203
30642,367197.15,3713395.16,710,983,367276.51,3713641.71,3802
30643,367388.81,3713488.07,427,908,367539.75,3713752.54,203
30644,367207.15,3713361.65,309,645,367276.51,3713641.71,3802
30646,367175.51,3713418.08,708,526,367276.51,3713641.71,3802
30647,367397.88,3713458.78,1725,678,367539.75,3713752.54,203
30648,367397.88,3713458.78,1725,1046,367276.51,3713641.71,3802
30650,367388.81,3713488.07,427,495,367539.75,3713752.54,203
30651,367314.57,3713394.91,1722,255,367276.51,3713641.71,3802
30653,367428.89,3713431.53,1726,379,367276.51,3713641.71,3802
30654,367207.15,3713361.65,309,99,367276.51,3713641.71,3802
30655,367207.15,3713361.65,309,866,367276.51,3713641.71,3802
30656,367428.89,3713431.53,1726,692,367276.51,3713641.71,3802
