codeLink,weight,sim
1207,2,1800
1208,2,1800
1209,4,1800
1210,1,1800
1211,2,1800
1212,1,1800
1213,10,1800
1214,4,1800
1215,14,1800
1216,14,1800
1217,1,1800
1218,2,1800
1219,11,1800
1220,2,1800
1221,1,1800
1222,2,1800
1223,1,1800
1224,1,1800
1225,3,1800
1226,3,1800
1227,4,1800
1228,1,1800
1229,2,1800
1230,3,1800
1231,3,1800
1232,2,1800
1233,2,1800
1234,17,1800
1235,4,1800
1236,7,1800
1237,5,1800
1238,14,1800
1239,14,1800
1240,3,1800
1241,4,1800
1242,1,1800
1243,2,1800
1244,3,1800
1245,1,1800
1246,1,1800
1247,1,1800
1248,1,1800
1249,1,1800
1250,5,1800
1251,0,1800
1252,15,1800
1253,16,1800
1254,21,1800
1255,7,1800
1256,8,1800
1257,1,1800
1258,2,1800
1259,3,1800
1260,1,1800
1261,1,1800
1262,3,1800
1263,6,1800
1264,29,1800
1265,2,1800
1266,11,1800
1267,35,1800
1268,82,1800
1269,1,1800
1270,15,1800
1271,92,1800
1272,31,1800
1273,1,1800
1274,9,1800
1275,1,1800
1276,6,1800
1277,4,1800
1278,2,1800
1279,3,1800
1280,3,1800
1281,5,1800
1282,2,1800
1283,2,1800
1284,2,1800
1285,1,1800
1286,8,1800
1287,7,1800
1288,20,1800
1289,9,1800
1290,74,1800
1291,12,1800
1292,8,1800
1293,5,1800
1294,7,1800
1295,48,1800
1296,15,1800
1297,27,1800
1298,34,1800
1299,4,1800
1300,4,1800
1301,3,1800
1302,8,1800
1303,3,1800
1304,81,1800
1305,36,1800
1306,42,1800
1307,46,1800
1308,44,1800
1309,26,1800
1310,6,1800
1311,45,1800
1312,2,1800
1313,15,1800
1314,0,1800
1315,2,1800
1316,2,1800
1317,2,1800
1318,1,1800
1319,2,1800
1320,1,1800
1321,2,1800
1322,8,1800
1323,3,1800
1324,1,1800
1325,1,1800
1326,1,1800
1327,4,1800
1328,4,1800
1329,3,1800
1330,2,1800
1331,2,1800
1332,2,1800
1333,2,1800
1334,17,1800
1335,7,1800
1336,14,1800
1337,6,1800
1338,4,1800
1339,2,1800
1340,1,1800
1341,4,1800
1342,7,1800
1343,2,1800
1344,11,1800
1345,15,1800
1346,19,1800
1347,5,1800
1348,2,1800
1349,2,1800
1350,17,1800
1351,3,1800
1352,12,1800
1353,22,1800
1354,5,1800
1355,2,1800
1356,2,1800
1357,3,1800
1358,3,1800
1359,5,1800
1360,6,1800
1361,7,1800
1362,18,1800
1363,15,1800
1364,9,1800
1365,14,1800
1366,5,1800
1367,41,1800
1368,52,1800
1369,2,1800
1370,3,1800
1371,10,1800
1372,11,1800
